State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,"2,069","3,445","3,540","3,494","3,783","1,197","1,249","1,426","1,447","2,770","2,888","3,299","2,298","3,660","6,494","7,530","9,181","7,802","8,231","7,668","8,687","8,503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,"203,782","166,334","163,686","156,371","186,726","178,417","194,853","188,449","177,209","151,859","181,015","193,453","194,992","213,553","203,628","192,270","194,485","198,072","196,226","193,284","187,599","196,574",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,"83,466","66,837","72,972","80,406","75,933","81,477","84,758","89,239","79,760","89,205","102,074","105,562","103,550","106,124","105,604","95,088","93,707","93,283","94,536","92,332","74,385","72,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,"13,376","10,389","9,319","9,573","9,704","25,335","25,421","29,420","36,719","29,481","30,114","29,754","27,209","27,187","33,300","35,397","37,709","37,953","40,107","40,871","35,235","37,237",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,"164,105","164,137","171,500","205,815","228,444","226,206","220,116","225,983","230,785","238,181","290,502","299,705","296,354","343,657","349,289","344,065","349,253","357,861","357,070","405,324","400,214","467,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,"16,364","13,734","12,544","13,788","14,174","12,834","15,042","19,828","24,008","27,202","30,793","33,469","32,766","36,671","37,476","41,942","44,116","44,071","44,599","47,803","41,829","42,466",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,"45,279","26,652","24,833","26,849","37,870","23,826","29,631","31,798","30,039","35,628","38,576","36,656","34,711","37,487","39,085","40,975","41,535","38,478","37,912","37,386","34,502","36,473",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,"1,352",864,878,923,939,258,606,728,545,598,"1,038","1,048",832,900,999,"1,506","1,876","1,754","1,989","2,108","1,850","1,866",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,"2,181","1,208","1,190","1,247","1,271","1,699","3,394","4,683","5,444","6,188","7,192","7,031","6,068","6,137","6,397","6,037","5,985","6,083","6,067","6,441","5,605","5,890",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,"164,155","127,398","144,188","157,615","149,032","157,664","162,048","169,327","210,030","239,189","253,868","251,217","248,455","260,909","256,189","251,293","247,497","256,365","249,306","235,146","209,583","218,337",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,"196,564","164,912","255,750","179,394","189,409","177,716","184,924","183,298","176,734","188,182","214,201","219,741","215,663","246,936","265,285","270,333","256,525","250,395","248,680","256,401","250,788","253,190",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,"15,194","7,954","7,491","9,314","9,354","9,632","10,054","9,936","12,030","12,482","10,700","11,187","10,026","11,720","11,624","12,075","13,414","10,944","10,700","9,971","8,428","9,041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,"66,147","62,586","65,857","75,223","90,720","98,147","110,108","139,290","163,974","206,436","235,135","239,044","228,413","232,673","241,842","252,726","257,115","264,720","273,583","274,833","244,325","256,941",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
