State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AK,"10,220","13,905","14,643","16,023","15,004","14,638","12,137","12,762","11,547","12,920","13,982","13,066","14,988","13,696","14,632","14,613","15,311","15,135","15,141","14,446","15,465","14,937"
AL,"59,346","86,346","89,775","128,232","106,432","101,436","71,930","40,881","60,466","122,345","84,919","86,313","70,754","123,071","90,020","91,853","64,456","85,057","101,380","101,495","117,032","101,890"
AR,"24,181","26,331","34,953","26,878","36,493","30,822","15,380","31,992","45,923","40,921","35,697","28,738","20,921","25,329","25,102","33,243","32,944","27,102","27,374","36,795","39,720","35,630"
AZ,"85,221","78,774","75,557","71,634","69,843","64,094","67,379","65,211","71,795","62,731","64,606","89,135","63,918","56,432","58,179","60,874","66,144","62,908","63,524","55,213","56,316","52,824"
CA,"391,043","263,923","316,794","368,253","341,956","396,279","476,582","270,107","237,755","272,187","326,152","413,488","255,384","226,643","157,197","128,612","267,078","390,080","239,556","341,319","187,416","129,809"
CO,"14,836","15,445","12,299","12,780","11,966","14,152","17,767","17,095","20,096","18,405","15,398","20,235","14,247","11,572","16,829","15,090","17,557","17,470","16,607","16,116","14,628","14,135"
CT,"5,369","2,959","3,409","5,715","4,634","4,782","5,395","3,590","5,481","4,973","3,811","5,513","2,970","3,835","4,127","2,817","2,068","3,059","5,052","3,808","2,858","4,224"
DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL,885,"1,526","1,873","2,660","2,657","2,661","2,018","1,527","2,031","2,032","1,731","1,769","1,432","2,425","2,010","2,275","1,611","2,010","2,116","1,868","2,031","2,225"
GA,"25,307","26,829","27,627","41,920","36,983","40,317","25,480","22,102","21,133","31,815","32,407","26,282","21,281","35,431","29,139","27,789","31,123","22,189","33,634","35,206","40,877","32,378"
HI,"1,055","1,041",967,916,941,962,"1,191",913,831,"1,099",687,905,"1,090",747,895,"1,129",838,608,878,841,866,"1,017"
IA,"9,222","8,733","9,628","7,985","9,475","9,594","9,020","9,512","8,071","9,479","9,250","8,991","7,291","7,147","8,355","8,943","8,460","9,521","8,414","7,086","8,988","8,668"
ID,"111,871","74,637","89,210","84,585","84,752","85,413","111,513","89,170","92,258","101,838","89,309","130,241","104,109","80,845","85,602","81,559","83,359","98,253","100,299","91,955","83,358","70,710"
IL,"1,467","1,488","1,311","1,402","1,538","1,290","1,719","1,519","1,365","1,331","1,157","1,365","1,058","1,148","1,258","1,159","1,226","1,152","1,333","1,102","1,183","1,137"
IN,"6,001","5,897","4,184","4,293","4,444","4,382","4,855","4,447","4,304","4,914","4,426","3,972","4,125","3,692","3,529","3,551","3,934","2,818","2,026","2,278","2,374","3,423"
KS,156,264,130,126,126,113,96,104,104,125,129,143,99,139,154,177,282,269,240,182,284,265
KY,"23,713","39,839","40,944","39,974","37,863","29,609","25,707","16,492","18,895","32,380","25,173","28,850","22,475","31,249","29,892","31,700","32,094","41,491","40,193","37,656","43,883","43,127"
LA,"5,430","7,566","9,069","9,031","11,006","8,109","7,074","8,171","10,488","12,067","10,817","10,144","6,470","9,966","10,365","9,305","10,179","8,345","10,734","12,153","10,553","9,810"
MA,"10,866","7,259","8,902","10,886","9,999","10,418","15,004","7,882","11,389","11,723","9,720","11,161","8,683","9,460","8,578","7,704","6,575","9,553","10,314","8,682","7,397","9,883"
MD,"17,674","12,229","16,897","26,801","25,115","17,035","20,872","16,331","19,453","18,434","16,267","24,748","15,764","16,477","15,362","15,118","12,847","18,098","25,755","19,471","14,876","18,724"
ME,"36,630","27,332","28,157","32,123","34,357","40,905","42,435","36,948","43,923","41,106","37,174","38,660","35,519","33,970","34,453","31,300","27,681","31,204","29,669","31,141","27,688","22,472"
MI,"14,564","16,139","16,981","14,031","15,420","14,616","15,080","12,553","13,445","13,390","12,200","13,188","11,484","13,539","15,215","13,964","14,436","15,460","14,277","14,681","15,021","11,849"
MN,"9,501","8,593","8,231","8,248","7,395","7,747","5,671","6,462","7,164","7,897","8,199","7,250","5,339","4,877","5,216","7,908","11,152","11,581","9,585","9,398","8,783","6,006"
MO,"6,120","11,409","13,804","6,606","14,823","11,592","1,976","11,904","20,169","17,731","15,018","11,515","6,797","10,843","6,631","14,856","11,705","10,880","7,537","19,720","16,477","15,012"
MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,"98,167","68,337","97,324","88,105","88,702","95,864","100,481","92,557","98,536","92,778","91,849","122,382","107,373","91,959","109,189","92,094","93,042","100,795","103,759","89,030","94,224","81,881"
NC,"32,009","26,821","35,525","72,910","54,439","53,960","38,079","29,495","29,894","50,471","46,405","37,828","35,475","65,838","45,226","44,167","40,762","35,156","60,096","55,047","69,763","51,408"
ND,"21,652","13,764","16,202","17,455","15,483","13,417","15,087","12,903","12,345","14,398","19,923","25,068","23,573","17,674","24,071","19,505","17,644","23,776","28,933","28,293","21,483","17,591"
NE,"15,309","11,616","11,165","9,924","9,145","8,714","8,861","3,434","3,414","4,233","12,818","15,713","11,962","10,723","11,009","15,694","7,903","13,711","12,574","11,927","12,187","9,933"
NH,"14,559","10,236","11,607","13,479","13,179","17,987","15,165","12,506","16,094","16,402","14,415","15,592","11,869","13,617","13,135","11,831","10,570","13,015","12,328","13,011","10,768","9,065"
NJ,143,186,122,394,376,311,351,207,254,313,177,237,102,174,164,89,87,126,323,236,135,161
NM,"2,256","2,452","2,692","1,728","1,392","1,650","1,966","2,649","3,077","2,645","2,117","1,892","2,120",876,936,926,"1,365","1,779","1,361","1,408","1,777","1,087"
NV,"24,783","25,974","23,068","17,787","16,177","17,022","20,410","19,800","17,251","24,015","21,047","21,284","23,223","25,588","22,717","21,088","16,511","16,691","17,116","19,952","16,862","17,195"
NY,"254,103","238,527","254,812","245,720","240,280","257,799","271,232","249,596","263,330","269,523","248,502","272,019","234,593","238,270","248,060","242,299","248,125","277,575","269,574","272,495","259,064","254,402"
OH,"5,948","5,278","4,968","5,172","7,310","5,157","6,268","4,057","3,808","5,151","4,186","3,728","3,941","5,240","4,545","4,253","4,617","2,554","2,220","3,583","3,281","5,114"
OK,"23,227","24,228","20,222","18,209","29,814","26,301","6,185","30,303","37,556","34,673","27,403","14,641","10,901","20,781","13,583","24,812","23,748","18,749","18,513","34,735","25,025","24,464"
