State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AK,0,10,0,0,0,6,8,10,1,69,123,121,356,"1,386","1,445","1,487","1,562","1,305","1,410","1,269","1,127","1,169"
AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,0,0,0,0,0,0,0,0,0,288,"1,316","2,483","5,059","4,291","4,451","4,210","4,998","5,248","4,824","4,933","5,647","14,153"
CA,"35,887","36,163","38,684","39,441","43,128","42,618","48,433","55,201","53,063","56,997","59,303","75,317","92,821","122,335","123,546","113,906","124,661","118,074","127,590","122,228","119,083","134,225"
CO,0,503,"1,414","1,489","2,205","7,762","8,585","12,765","31,738","30,879","33,676","50,526","56,798","68,731","70,068","69,625","86,939","85,769","88,661","96,575","117,357","133,772"
CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,117,112,109,107,113
DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,0,0,0,0,0,0,0,0,0,0,25,47,35,43,48,48,49,46,47,47,45,43
FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,173,22,16,16,75,66,790,"2,354","2,365","2,454","2,547","3,311","3,599","4,802","5,502","5,707","5,898","4,899","5,476","4,710","5,192","5,818"
IA,"5,037","5,041","9,347","9,942","10,516","16,470","22,990","27,247","40,242","72,424","89,466","104,050","133,533","148,538","155,061","166,466","185,224","196,800","194,097","234,088","299,676","328,097"
ID,0,0,0,0,0,0,"1,682","1,703","2,044","3,059","4,300","12,696","17,991","23,472","26,680","21,145","23,794","23,431","24,156","22,700","24,290","23,704"
IL,0,0,0,182,782,"1,411","2,525","6,567","23,029","27,519","43,450","60,367","73,528","91,834","95,878","100,100","98,402","112,962","108,257","128,676","142,253","169,213"
IN,0,0,0,0,0,0,0,0,"2,349","13,695","28,625","31,921","30,547","33,213","33,244","42,054","45,212","46,863","49,467","55,316","55,123","69,487"
KS,0,412,"4,748","3,705","3,592","4,258","9,839","11,392","17,337","27,945","33,220","36,143","49,439","90,002","103,124","102,440","130,215","171,251","172,020","187,978","210,090","227,235"
KY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA,0,0,0,0,0,0,0,0,36,58,215,596,853,"1,955","2,139","1,999","1,994","2,142","2,010","1,876","2,089","1,845"
MD,0,0,0,0,0,0,0,0,0,0,15,"2,630","3,061","3,069","3,077","4,048","4,864","5,169","5,186","4,630","4,784","4,576"
ME,0,0,0,0,0,0,0,979,"1,297","2,915","4,870","6,866","8,440","9,996","10,435","12,068","15,384","21,481","21,692","22,194","20,998","22,501"
MI,0,3,3,27,19,18,22,27,"1,391","2,930","3,515","4,435","10,769","26,711","36,782","44,678","43,333","47,801","49,650","51,843","59,047","68,071"
MN,"7,391","9,269","9,215","9,900","8,137","15,823","20,383","26,082","42,910","49,317","46,748","65,347","77,805","78,797","92,152","91,080","91,666","102,552","97,473","97,576","103,724","108,528"
MO,0,0,0,0,0,0,0,0,"2,003","4,874","9,029","11,448","11,845","11,133","10,756","9,622","10,353","18,714","25,790","25,432","29,327","57,790"
MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,0,0,0,0,0,0,"4,324","4,900","5,845","8,012","9,075","12,292","12,007","16,741","18,769","18,299","19,750","19,842","19,592","21,120","26,815","30,712"
NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,"4,335","4,938","4,655","4,789","4,552"
ND,0,0,0,596,"2,149","2,203","3,665","6,136","16,687","29,256","39,957","50,869","50,192","52,656","58,979","60,594","75,410","104,596","97,648","99,785","119,528","132,087"
NE,0,27,82,387,385,966,"2,591","2,143","2,111","3,735","4,114","10,210","12,215","17,191","26,026","29,623","35,052","46,814","50,486","64,172","79,914","84,832"
